side,entry_dt,entry_px,exit_dt,exit_px
S,2026-07-13 09:30:00+08:00,3966.023,2026-07-13 11:00:00+08:00,3943.912
S,2026-07-13 13:00:00+08:00,3934.668,2026-07-14 09:30:00+08:00,3909.274
L,2026-07-14 13:00:00+08:00,3891.903,2026-07-15 09:30:00+08:00,3963.727
S,2026-07-16 09:30:00+08:00,3912.381,2026-07-17 09:30:00+08:00,3865.316
L,2026-07-17 09:30:00+08:00,3865.316,2026-07-17 13:00:00+08:00,3818.067
L,2026-07-21 09:30:00+08:00,3812.162,2026-07-21 15:00:00+08:00,3864.367
S,2026-07-24 09:30:00+08:00,3853.632,2026-07-28 09:30:00+08:00,3823.133
L,2026-07-31 09:30:00+08:00,3833.536,2026-08-03 09:30:00+08:00,3812.613
S,2026-08-03 09:30:00+08:00,3812.613,2026-08-03 13:00:00+08:00,3810.283
L,2026-08-04 09:30:00+08:00,3816.37,2026-08-05 09:30:00+08:00,3815.122
L,2026-08-05 10:30:00+08:00,3851.116,2026-08-05 13:00:00+08:00,3874.279
S,2026-08-05 15:00:00+08:00,3878.43,2026-08-06 09:30:00+08:00,3864.273
L,2026-08-07 09:30:00+08:00,3896.485,2026-08-10 09:30:00+08:00,3943.816
S,2026-08-12 09:30:00+08:00,3933.553,2026-08-13 09:30:00+08:00,3957.161
S,2026-08-14 09:30:00+08:00,3930.021,2026-08-17 09:30:00+08:00,3930.104
L,2026-08-26 09:30:00+08:00,3881.741,2026-08-26 13:00:00+08:00,3917.729
