dt,board,state,action,price,nav,expressed,bull,bear,mixed,bull_frac,trigger,gaps
2026-01-21 14:30:00+08:00,short,L,hold,4114.052,1.015623,6,5,1,0,0.8333,True,0
2026-01-21 15:00:00+08:00,short,L,hold,4116.94,1.016336,6,5,1,0,0.8333,True,0
2026-01-22 09:30:00+08:00,short,L,hold,4126.072,1.01859,6,5,1,0,0.8333,True,0
2026-01-22 10:00:00+08:00,short,L,hold,4132.339,1.020137,6,5,1,0,0.8333,True,0
2026-01-22 10:30:00+08:00,short,L,hold,4114.662,1.015774,6,5,1,0,0.8333,True,0
2026-01-22 11:00:00+08:00,short,L,hold,4123.918,1.018059,6,5,1,0,0.8333,True,0
2026-01-22 11:30:00+08:00,short,L,hold,4110.862,1.014835,6,5,1,0,0.8333,True,0
2026-01-22 13:00:00+08:00,short,L,hold,4111.275,1.014937,6,5,1,0,0.8333,True,0
2026-01-22 13:30:00+08:00,short,L,hold,4114.925,1.015838,6,5,1,0,0.8333,True,0
2026-01-22 14:00:00+08:00,short,L,hold,4121.354,1.017426,6,5,1,0,0.8333,True,0
2026-01-22 14:30:00+08:00,short,L,hold,4122.765,1.017774,7,5,2,0,0.7143,True,0
2026-01-22 15:00:00+08:00,short,L,hold,4122.576,1.017727,7,5,2,0,0.7143,True,0
2026-01-23 09:30:00+08:00,short,L,hold,4130.108,1.019587,6,5,1,0,0.8333,True,0
2026-01-23 10:00:00+08:00,short,L,hold,4133.303,1.020375,6,5,1,0,0.8333,True,0
2026-01-23 10:30:00+08:00,short,L,hold,4126.105,1.018598,6,5,1,0,0.8333,True,0
2026-01-23 11:00:00+08:00,short,L,hold,4134.411,1.020649,6,5,1,0,0.8333,True,0
2026-01-23 11:30:00+08:00,short,L,hold,4133.575,1.020443,6,5,1,0,0.8333,True,0
2026-01-23 13:00:00+08:00,short,L,hold,4134.169,1.020589,6,5,1,0,0.8333,True,0
2026-01-23 13:30:00+08:00,short,L,hold,4131.727,1.019986,6,5,1,0,0.8333,True,0
2026-01-23 14:00:00+08:00,short,L,hold,4139.875,1.021998,6,5,1,0,0.8333,True,0
2026-01-23 14:30:00+08:00,short,L,hold,4136.542,1.021175,6,5,1,0,0.8333,True,0
2026-01-23 15:00:00+08:00,short,L,hold,4136.164,1.021082,6,5,1,0,0.8333,True,0
2026-01-26 09:30:00+08:00,short,F,sell,4144.778,1.023208,2,1,1,0,0.5,False,0
2026-01-26 10:00:00+08:00,short,F,hold,4126.314,1.023208,2,1,1,0,0.5,False,0
2026-01-26 10:30:00+08:00,short,F,hold,4151.448,1.023208,2,1,1,0,0.5,False,0
2026-01-26 11:00:00+08:00,short,F,hold,4127.838,1.023208,2,1,1,0,0.5,False,0
2026-01-26 11:30:00+08:00,short,F,hold,4141.014,1.023208,2,1,1,0,0.5,False,0
2026-01-26 13:00:00+08:00,short,F,hold,4141.446,1.023208,3,2,1,0,0.6667,False,0
2026-01-26 13:30:00+08:00,short,F,hold,4134.72,1.023208,3,2,1,0,0.6667,False,0
2026-01-26 14:00:00+08:00,short,F,hold,4133.029,1.023208,3,2,1,0,0.6667,False,0
2026-01-26 14:30:00+08:00,short,F,hold,4141.281,1.023208,3,2,1,0,0.6667,False,0
2026-01-26 15:00:00+08:00,short,F,hold,4132.605,1.023208,3,2,1,0,0.6667,False,0
2026-01-27 09:30:00+08:00,short,F,hold,4125.216,1.023208,5,3,2,0,0.6,False,0
2026-01-27 10:00:00+08:00,short,F,hold,4107.8,1.023208,5,3,2,0,0.6,False,0
2026-01-27 10:30:00+08:00,short,F,hold,4121.836,1.023208,5,3,2,0,0.6,False,0
2026-01-27 11:00:00+08:00,short,F,hold,4136.99,1.023208,5,3,2,0,0.6,False,0
2026-01-27 11:30:00+08:00,short,F,hold,4134.031,1.023208,5,3,2,0,0.6,False,0
2026-01-27 13:00:00+08:00,short,F,hold,4134.37,1.023208,5,3,2,0,0.6,False,0
2026-01-27 13:30:00+08:00,short,F,hold,4140.871,1.023208,5,3,2,0,0.6,False,0
2026-01-27 14:00:00+08:00,short,F,hold,4154.228,1.023208,5,3,2,0,0.6,False,0
2026-01-27 14:30:00+08:00,short,F,hold,4148.279,1.023208,5,3,2,0,0.6,False,0
2026-01-27 15:00:00+08:00,short,F,hold,4139.904,1.023208,5,3,2,0,0.6,False,0
2026-01-28 09:30:00+08:00,short,L,buy,4150.215,1.023208,5,5,0,0,1.0,True,0
2026-01-28 10:00:00+08:00,short,L,hold,4147.715,1.022592,5,5,0,0,1.0,True,0
2026-01-28 10:30:00+08:00,short,L,hold,4149.195,1.022957,5,5,0,0,1.0,True,0
2026-01-28 11:00:00+08:00,short,L,hold,4141.727,1.021116,5,5,0,0,1.0,True,0
2026-01-28 11:30:00+08:00,short,L,hold,4160.006,1.025622,5,5,0,0,1.0,True,0
2026-01-28 13:00:00+08:00,short,L,hold,4160.479,1.025739,5,4,1,0,0.8,True,0
2026-01-28 13:30:00+08:00,short,L,hold,4148.9,1.022884,5,4,1,0,0.8,True,0
2026-01-28 14:00:00+08:00,short,L,hold,4157.008,1.024883,5,4,1,0,0.8,True,0
2026-01-28 14:30:00+08:00,short,L,hold,4161.72,1.026045,5,4,1,0,0.8,True,0
2026-01-28 15:00:00+08:00,short,L,hold,4151.238,1.02346,5,4,1,0,0.8,True,0
2026-01-29 09:30:00+08:00,short,L,hold,4155.918,1.024614,3,3,0,0,1.0,True,0
2026-01-29 10:00:00+08:00,short,L,hold,4154.994,1.024386,3,3,0,0,1.0,True,0
2026-01-29 10:30:00+08:00,short,L,hold,4144.329,1.021757,3,3,0,0,1.0,True,0
2026-01-29 11:00:00+08:00,short,L,hold,4151.91,1.023626,3,3,0,0,1.0,True,0
2026-01-29 11:30:00+08:00,short,L,hold,4147.154,1.022454,3,3,0,0,1.0,True,0
2026-01-29 13:00:00+08:00,short,F,sell,4148.023,1.022668,3,2,1,0,0.6667,False,0
2026-01-29 13:30:00+08:00,short,F,hold,4146.041,1.022668,3,2,1,0,0.6667,False,0
2026-01-29 14:00:00+08:00,short,F,hold,4149.966,1.022668,3,2,1,0,0.6667,False,0
2026-01-29 14:30:00+08:00,short,F,hold,4158.053,1.022668,3,2,1,0,0.6667,False,0
2026-01-29 15:00:00+08:00,short,F,hold,4157.984,1.022668,3,2,1,0,0.6667,False,0
